date,time,day,incident,min_delay
2022-01-01T00:00:00Z,02:00:00,Saturday,General Delay,0
2022-01-01T00:00:00Z,02:00:00,Saturday,Operations - Operator,17
2022-01-01T00:00:00Z,02:07:00,Saturday,Operations - Operator,4
2022-01-01T00:00:00Z,02:13:00,Saturday,Operations - Operator,4
2022-01-01T00:00:00Z,02:16:00,Saturday,Operations - Operator,30
2022-01-01T00:00:00Z,02:18:00,Saturday,Security,0
2022-01-01T00:00:00Z,02:38:00,Saturday,Operations - Operator,4
2022-01-01T00:00:00Z,02:55:00,Saturday,Operations - Operator,4
2022-01-01T00:00:00Z,03:18:00,Saturday,Emergency Services,0
2022-01-01T00:00:00Z,03:32:00,Saturday,Security,17
2022-01-01T00:00:00Z,03:34:00,Saturday,Operations - Operator,15
2022-01-01T00:00:00Z,03:52:00,Saturday,Operations - Operator,30
2022-01-01T00:00:00Z,04:21:00,Saturday,Operations - Operator,16
2022-01-01T00:00:00Z,04:39:00,Saturday,Emergency Services,0
2022-01-01T00:00:00Z,04:42:00,Saturday,Operations - Operator,30
2022-01-01T00:00:00Z,04:53:00,Saturday,Operations - Operator,30
2022-01-01T00:00:00Z,04:58:00,Saturday,Security,30
2022-01-01T00:00:00Z,05:01:00,Saturday,Operations - Operator,10
2022-01-01T00:00:00Z,05:02:00,Saturday,Operations - Operator,33
2022-01-01T00:00:00Z,05:39:00,Saturday,Operations - Operator,3
2022-01-01T00:00:00Z,05:41:00,Saturday,Operations - Operator,4
2022-01-01T00:00:00Z,06:03:00,Saturday,Security,3
2022-01-01T00:00:00Z,06:06:00,Saturday,Emergency Services,10
2022-01-01T00:00:00Z,06:12:00,Saturday,Mechanical,11
2022-01-01T00:00:00Z,06:17:00,Saturday,Operations - Operator,38
2022-01-01T00:00:00Z,07:08:00,Saturday,Operations - Operator,30
2022-01-01T00:00:00Z,07:13:00,Saturday,Operations - Operator,10
2022-01-01T00:00:00Z,07:13:00,Saturday,Operations - Operator,23
2022-01-01T00:00:00Z,07:25:00,Saturday,Investigation,23
2022-01-01T00:00:00Z,07:27:00,Saturday,Operations - Operator,11
2022-01-01T00:00:00Z,08:07:00,Saturday,Operations - Operator,20
2022-01-01T00:00:00Z,08:07:00,Saturday,Operations - Operator,15
2022-01-01T00:00:00Z,08:07:00,Saturday,Operations - Operator,8
2022-01-01T00:00:00Z,08:13:00,Saturday,Operations - Operator,10
2022-01-01T00:00:00Z,08:14:00,Saturday,Diversion,106
2022-01-01T00:00:00Z,08:44:00,Saturday,Operations - Operator,27
2022-01-01T00:00:00Z,08:46:00,Saturday,Operations - Operator,4
2022-01-01T00:00:00Z,08:49:00,Saturday,Operations - Operator,27
2022-01-01T00:00:00Z,08:50:00,Saturday,Emergency Services,0
2022-01-01T00:00:00Z,08:52:00,Saturday,Operations - Operator,9
2022-01-01T00:00:00Z,09:03:00,Saturday,Cleaning - Unsanitary,20
